brightness,nestbox
35.3,1_104
50.6,1_12
33.9,1_121
42.4,1_123
53.6,1_17
56,1_62
55.9,1_81
57,1_85
56.2,1_91
62.6,2_102
55.8,2_105
NA,2_109
57,2_114
59.2,2_117
58.6,2_12
34.1,2_121
58.4,2_124
54.2,2_14
47.1,2_2
49.2,2_21
57.7,2_22
48.2,2_27
49,2_30
52.6,2_32
41.5,2_34
39.9,2_38
64.6,2_45
53.9,2_49
49.2,2_51
54.5,2_54
47.2,2_77
55.7,2_8
49.3,2_80
60.2,2_82
68,2_86
45.5,2_9
53.3,2_95
41.2,2_96
57.4,4_62
41.2,4_71
43.8,4_80
48.1,4_93
