,Recipe_Index,all_purpose_flour,baking_powder,baking_soda,butter,egg,salt,sugar,vanilla,light_brown_sugar,dark_brown_sugar,bittersweet_chocolate_chip,semisweet_chocolate_chip,milk_chocolate_chip
81,E_220,2,0,1.333333333,1,1.333333333,0.666666667,0.666666667,1.333333333,1,0,0,1.333333333,0
82,E_230,5.142857143,0,2.571428571,1.71,5.142857143,2.571428571,1.714285714,2.571428571,2.571428571,0,0,4.285714286,0
83,E_258,3.5,0,2,1,4,1,1,2,2,0,0,0,3.125
84,E_26,5.4,0,2.4,1.2,4.8,2.4,1.8,3.6,1.8,0,0,2.4,0
85,E_362,2,1.333333333,0.333333333,0.833333333,2.666666667,0.666666667,1,1.333333333,1,0,0,1.333333333,0
86,E_375,3.428571429,0,1.142857143,0.571428571,2.285714286,1.142857143,0.571428571,1.142857143,1.142857143,0,0,1.857142857,0
87,E_399,4.363636364,0.545454545,0.545454545,1.909090909,2.181818182,0.545454545,1.636363636,2.181818182,2.181818182,0,0,0,0
88,E_509,0.32,0,0.16,0.2,0.32,0.24,0,0.16,0.213333333,0,0,0.4,0
89,E_79,2.4,0,1.6,3.2,3.2,0.8,1.2,1.6,0.8,0,0,2.4,0
90,E_87,2.88,0,0.48,1.2,1.92,0,0.96,0.96,0,0,0,1.44,0
91,E_88,16,0,4,8,16,2,4,24,4,0,0,8,0
92,E_89,2.5,0,1,1,2,1,1,1,0.75,0,2,0,0
93,E_91,1.8,0,0.8,0.8,1.6,0.8,0.6,0.8,0.6,0,0,1.6,0
94,Misc_10,3.6,0,1.2,0.8,3.2,1.6,1.2,1.6,0,1.2,0,0.2,0
95,Misc_101,6,0,1.5,2.4375,3,3,1.5,6,2.25,0,0,3,3
96,Misc_102,7,0,4,4,8,4,0,12,0,0,0,4,0
97,Misc_103,3.333333333,0,1.333333333,1.333333333,2.666666667,0,0.666666667,1.333333333,1.333333333,0,0,2.666666667,0
98,Misc_104,2,0,1.6,0.8,1.6,0.8,0,1.6,0.8,0,0,4,0
99,Misc_105,8,0,4,0,8,2,2.666666667,8,0,4,0,8,0
100,Misc_106,3,0,1.333333333,1.333333333,1.333333333,1.333333333,0.888888889,2.666666667,0.888888889,0,0,0,0
101,Misc_107,2,0,1.6,0,1.6,0,0,1.6,0,0,0,4,0
102,Misc_108,2.5,0,2,1,2,1,0.75,2,1,0,0,2,1.5
103,Misc_109,4,4,4,2,4,1,2,6,2,0,0,0.625,0
104,Misc_11,1.8,0,0.8,0.8,1.6,0.8,0.6,0.8,0.6,0,0,1.6,0
