name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Gilly,female,lowborn,2,55.18,0,NA
Cressen,male,lowborn,1,0.12,1,Poisoned by himself with The Strangler trying to kill Melisandre in the War Room at Dragonstone
Melisandre,female,lowborn,2,51.42,1,Succumbed to old age after removing her enchanted necklace following the Battle of Winterfell
Matthos Seaworth,male,lowborn,1,6.56,1,Killed by wildfire explosion at Blackwater Bay
Davos Seaworth,male,lowborn,2,55.14,0,NA
Selyse Baratheon,female,highborn,1,32.36,1,Committed suicide by hanging herself from a tree in the forest near Winterfell
Stannis Baratheon,Male,highborn,1,32.56,1,Beheaded by Brienne of Tarth in the forest near Winterfell
Alton Lannister,Male,highborn,1,4.91,1,Bludgeoned to death (head) by Jamie Lannister at a campsite in the Westerlands
Marei,female,lowborn,1,54.77,0,NA
Daisy,Female,lowborn,1,54.77,0,NA
Podrick Payne,male,lowborn,2,54.31,0,NA
Yara Greyjoy,female,highborn,2,54.16,0,NA
Balon Greyjoy,Male,highborn,1,33.64,1,Thrown from a suspension bridge at Pyke by his brother Euron Greyjoy
Salladhor Saan,male,lowborn,1,54.06,0,NA
Brienne of Tarth,female,highborn,2,53.69,0,NA
Margaery Tyrell,female,highborn,1,39.49,1,Burned alive in a wildfire explosion in the Great Sept of Baelor
Polliver,male,lowborn,1,15.28,1,Stabbed in the throat by Arya Stark inside a tavern
Amory Lorch,male,lowborn,1,3.92,1,Killed by dart tipped with poison (Wolfsbane) by Jaqen H'ghar at Harrenhal caste grounds
Rennick,male,lowborn,1,0.03,1,Mauled by a direwolf in a field near Oxcross
Roose Bolton,Male,highborn,2,32.3,1,Stabbed in the chest by his son Ramsay Bolton at Winterfell
Talisa Maegyr,female,lowborn,1,13.29,1,Stabbed repeatedly in the stomach by Lothar Frey in the wedding hall at The Twins
Tickler,male,lowborn,1,1.17,1,Thrown from a castle wall by Jaqen H'ghar at Harrenhal (broken neck)
Silk King,male,lowborn,1,2.59,1,Throat slit by Pyat Pree in the ruling council chamber in Qarth
Spice King,male,lowborn,1,2.59,1,Throat slit by Pyat Pree in the ruling council chamber in Qarth
Xaro Xhoan Daxos,male,lowborn,1,5.3,1,Locked inside his vault in Qarth and left to die with Doreah
Pyat Pree,male,lowborn,1,5.2,1,Burned alive by Daenerys Targaryen's dragons in the House of the Undying in Qarth
Lorren,male,lowborn,1,4.82,1,Flayed alive by Ramsay Snow
Dagmer Cleftjaw,male,lowborn,1,4.79,1,Flayed alive by Ramsay Snow
Reginald Lannister,male,lowborn,1,51.95,0,NA
Hallyne,male,lowborn,2,51.82,0,NA
Malakho,male,lowborn,2,51.73,0,NA
Quaithe,female,lowborn,1,51.69,0,NA
Qhorin Halfhand,male,lowborn,1,4.25,1,Stabbed in the torso by Jon Snow in the mountains beyond The Wall
Farlen,male,lowborn,1,4.22,1,Killed during the Sack of Winterfell
